10466,290,451,360,531,899,508,,83,78,113,119,63,98,,91.2,,7.456140351
11239,13,50,214,188,84,22,,181,179,147,164,174,181,,169,,7.100591716
10453,252,343,340,617,640,443,,92,107,118,105,88,109,,102,,6.862745098
11215,760,1286,1629,2179,2090,1772,,16,16,15,15,13,16,,15,,6.666666667
10029,607,682,771,1166,1187,939,,26,44,44,47,36,42,,39.4,,6.598984772
11421,125,168,207,371,290,200,,148,154,148,138,149,156,,147.4,,5.834464043
11232,150,284,294,355,377,269,,137,123,127,140,137,140,,132.8,,5.421686747
11423,161,249,230,291,304,239,,133,134,145,149,146,149,,141.4,,5.374823197
11428,111,137,123,245,187,150,,153,160,165,156,161,167,,159,,5.031446541
11434,242,349,474,552,453,433,,97,104,90,117,128,112,,107.2,,4.47761194
11429,134,138,115,161,145,120,,147,159,169,167,167,169,,161.8,,4.449938195
11362,200,299,309,399,465,335,,116,117,124,132,124,128,,122.6,,4.4045677
10039,97,164,160,194,122,139,,162,156,158,163,170,168,,161.8,,3.831891224
10302,98,184,119,286,215,158,,161,148,168,150,158,163,,157,,3.821656051
10028,623,1113,1344,1749,1579,1451,,25,22,23,22,24,24,,23.2,,3.448275862
11411,36,89,75,171,91,61,,174,170,174,165,173,177,,171.2,,3.387850467
11004,121,260,293,348,348,267,,149,129,128,144,139,141,,137.8,,2.322206096
11234,179,395,449,831,550,483,,127,92,97,72,106,101,,98.8,,2.226720648
10010,702,999,1409,1698,1595,1501,,20,25,21,24,23,23,,22.6,,1.769911504
10470,49,82,85,144,110,66,,171,172,171,170,171,174,,171,,1.754385965
10803,0,0,8,2,4,0,,187,186,183,184,184,188,,184.8,,1.731601732
11005,1,2,7,1,3,0,,186,185,184,187,185,188,,185.4,,1.402373247
10464,38,71,72,134,74,65,,173,174,175,171,176,176,,173.8,,1.265822785
11378,328,410,497,759,647,582,,69,86,85,84,86,83,,82,,1.219512195
10280,63,77,81,76,94,66,,168,173,172,175,172,174,,172,,1.162790698
11427,112,137,173,237,209,192,,152,160,155,159,159,158,,157,,0.636942675
10303,52,176,122,163,167,155,,170,151,166,166,162,164,,163,,0.613496933
10000,0,0,0,1,2,0,,187,186,189,187,186,188,,187,,0.534759358
11359,6,0,6,0,1,1,,184,186,185,189,187,187,,186.2,,0.429645542
11001,16,58,57,58,34,48,,179,176,178,179,180,179,,178.4,,0.33632287
